2026-05-01 11:14:22,434 | INFO | httpx | HTTP Request: GET http://testserver/evaluation/nonexistent-id "HTTP/1.1 404 Not Found"
2026-05-01 11:14:22,492 | INFO | model.backtesting | Backtest complete: trades=0 sharpe=0.00 max_dd=0.00% return=0.00%
2026-05-01 11:14:22,498 | INFO | model.backtesting | Backtest complete: trades=1 sharpe=-1.60 max_dd=-9.12% return=-9.12%
2026-05-01 11:14:22,505 | INFO | model.backtesting | Backtest complete: trades=1 sharpe=-1.60 max_dd=-9.12% return=-9.12%
2026-05-01 11:14:22,511 | INFO | model.backtesting | Backtest complete: trades=1 sharpe=-1.60 max_dd=-9.12% return=-9.12%
2026-05-01 11:14:22,531 | INFO | HMMStockPredictor | Training HMM with 45 samples and config=HMMConfig(n_hidden_states=4, n_iter=500, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,540 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 4 states
2026-05-01 11:14:22,541 | INFO | HMMStockPredictor | Training finished. LogLik=353.16 Samples=45
2026-05-01 11:14:22,548 | INFO | model.backtesting | Backtest complete: trades=3 sharpe=4.83 max_dd=0.00% return=2.90%
2026-05-01 11:14:22,549 | INFO | model.backtesting | Walk-forward split 1/2: trades=3 sharpe=4.83
2026-05-01 11:14:22,558 | INFO | HMMStockPredictor | Training HMM with 45 samples and config=HMMConfig(n_hidden_states=4, n_iter=500, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,567 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 4 states
2026-05-01 11:14:22,568 | INFO | HMMStockPredictor | Training finished. LogLik=352.75 Samples=45
2026-05-01 11:14:22,575 | INFO | model.backtesting | Backtest complete: trades=4 sharpe=-0.55 max_dd=-1.12% return=-0.21%
2026-05-01 11:14:22,575 | INFO | model.backtesting | Walk-forward split 2/2: trades=4 sharpe=-0.55
2026-05-01 11:14:22,579 | INFO | HMMStockPredictor | Training HMM with 79 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,581 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,581 | INFO | HMMStockPredictor | Training finished. LogLik=596.70 Samples=79
2026-05-01 11:14:22,586 | INFO | HMMStockPredictor | Training HMM with 79 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,587 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,587 | INFO | HMMStockPredictor | Training finished. LogLik=596.70 Samples=79
2026-05-01 11:14:22,591 | INFO | HMMStockPredictor | Training HMM with 79 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,592 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,593 | INFO | HMMStockPredictor | Training finished. LogLik=596.70 Samples=79
